codigo,descricao,infracao,,,,,,,,,,,,,,,,,
32.1,,,,,,,,,,,,,,,,,,,
32.1.1,"A empresa ao implantar a NR-32 estabeleceu as diretrizes básicas para a implementação de medidas de proteção à segurança e à saúde dos trabalhadores dos serviços de saúde, bem como daqueles que exercem atividades de promoção e assistência à saúde em geral?",,,,,,,,,,,,,,,,,,
32.1.2 ,A empresa entende por serviços de saúde qualquer edificação destinada à prestação de assistência à saúde da população?,,,,,,,,,,,,,,,,,,
32.1.2.a,A empresa entende por serviços de saúde quaisquer ações de promoção em saúde em qualquer nível de complexidade?,,,,,,,,,,,,,,,,,,
32.1.2.b,A empresa entende por serviços de saúde quaisquer ações de recuperação em saúde em qualquer nível de complexidade?,,,,,,,,,,,,,,,,,,
32.1.2.c,A empresa entende por serviços de saúde quaisquer ações de assistência em saúde em qualquer nível de complexidade?,,,,,,,,,,,,,,,,,,
32.1.2.d,A empresa entende por serviços de saúde quaisquer ações de pesquisa em saúde em qualquer nível de complexidade?,,,,,,,,,,,,,,,,,,
32.1.2.e,A empresa entende por serviços de saúde quaisquer ações de ensino em saúde em qualquer nível de complexidade?,,,,,,,,,,,,,,,,,,
32.2,,,,,,,,,,,,,,,,,,,
32.2.1,A empresa considera Risco Biológico a probabilidade da exposição ocupacional a agentes biológicos?,,,,,,,,,,,,,,,,,,
32.2.1.1,"A empresa considerada como Agentes Biológicos os microrganismos, geneticamente modificados ou não; as culturas de células; os parasitas; as toxinas e os príons?",,,,,,,,,,,,,,,,,,
32.2.1.2,,,,,,,,,,,,,,,,,,,
32.2.2,,,,,,,,,,,,,,,,,,,
32.2.2.1,,,,,,,,,,,,,,,,,,,
32.2.2.1.I,,3,,,,,,,,,,,,,,,,,
32.2.2.1.I.a,"I – Há a identificação dos riscos biológicos mais prováveis, em função da localização geográfica e da característica do serviço de saúde e seus setores, considerando:
a) fontes de exposição e reservatórios?
",2,,,,,,,,,,,,,,,,,
32.2.2.1.I.b,"I – Há a identificação dos riscos biológicos mais prováveis, em função da localização geográfica e da característica do serviço de saúde e seus setores, considerando:
b) vias de transmissão e de entrada?
",2,,,,,,,,,,,,,,,,,
32.2.2.1.I.c,"I – Há a identificação dos riscos biológicos mais prováveis, em função da localização geográfica e da característica do serviço de saúde e seus setores, considerando:
c) transmissibilidade, patogenicidade e virulência do agente?
",2,,,,,,,,,,,,,,,,,
32.2.2.1.I.d,"I - Há a identificação dos riscos biológicos mais prováveis, em função da localização geográfica e da característica do serviço de saúde e seus setores, considerando:
d) persistência do agente biológico no ambiente?
",2,,,,,,,,,,,,,,,,,
32.2.2.1.I.e,"Há a identificação dos riscos biológicos mais prováveis, em função da localização geográfica e da característica do serviço de saúde e seus setores, considerando:
e) estudos epidemiológicos ou dados estatísticos?
",2,,,,,,,,,,,,,,,,,
32.2.2.1.I.f,"I – Há a identificação dos riscos biológicos mais prováveis, em função da localização geográfica e da característica do serviço de saúde e seus setores, considerando:
f) outras informações científicas?
",2,,,,,,,,,,,,,,,,,
32.2.2.1.II,,3,,,,,,,,,,,,,,,,,
32.2.2.1.II.a,"II – Verifica-se a avaliação do local de trabalho e do trabalhador, considerando:
a) a finalidade e descrição do local de trabalho?
",2,,,,,,,,,,,,,,,,,
32.2.2.1.II.b,"II - Verifica-se a avaliação do local de trabalho e do trabalhador, considerando:
b) a organização e procedimentos de trabalho?
",2,,,,,,,,,,,,,,,,,
32.2.2.1.II.c,"II - Verifica-se a avaliação do local de trabalho e do trabalhador, considerando:
c) a possibilidade de exposição?
",2,,,,,,,,,,,,,,,,,
32.2.2.1.II.d,"II - Verifica-se a avaliação do local de trabalho e do trabalhador, considerando:
d) a descrição das atividades e funções de cada local de trabalho?
",2,,,,,,,,,,,,,,,,,
32.2.2.1.II.e,"II - Verifica-se a avaliação do local de trabalho e do trabalhador, considerando:
e) as medidas preventivas aplicáveis e seu acompanhamento?
",2,,,,,,,,,,,,,,,,,
32.2.2.2,,3,,,,,,,,,,,,,,,,,
32.2.2.2.a,O PPRA é reavaliado 01 (uma) vez ao ano,3,,,,,,,,,,,,,,,,,
32.2.2.2.a.a,"O PPRA é reavaliado sempre que se produza uma mudança nas condições de trabalho, que possa alterar a exposição aos agentes biológicos?",3,,,,,,,,,,,,,,,,,
32.2.2.2.b,O PPRA é reavaliado  quando a análise dos acidentes e incidentes assim o determinar?,3,,,,,,,,,,,,,,,,,
