codigo	descricao
32.1	DO OBJETIVO E CAMPO DE APLICAÇÃO
32.2	DOS RISCOS BIOLÓGICOS
32.2.2	Do Programa de Prevenção de Riscos Ambientais - PPRA
32.2.2.3	Do Programa de Controle Médico de Saúde Ocupacional – PCMSO
32.2.4	Das Medidas de Proteção
32.2.4.5 	O empregador deve vedar:
32.2.4.6	Todos trabalhadores com possibilidade de exposição a agentes biológicos devem utilizar vestimenta de trabalho adequada e em condições de conforto.
32.2.4.7	Os Equipamentos de Proteção Individual - EPI, descartáveis ou não, deverão estar à disposição em número suficiente nos postos de trabalho, de forma que seja garantido o imediato fornecimento ou reposição.
32.2.4.8 	O empregador deve:
32.2.4.9 	O empregador deve assegurar capacitação aos trabalhadores, antes do início das atividades e de forma continuada, devendo ser ministrada:
32.2.4.10 	Em todo local onde exista a possibilidade de exposição a agentes biológicos, devem ser fornecidas aos trabalhadores instruções escritas, em linguagem acessível, das rotinas realizadas no local de trabalho e medidas de prevenção de acidentes e de doenças relacionadas ao trabalho.
32.2.4.11 	Os trabalhadores devem comunicar imediatamente todo acidente ou incidente, com possível exposição a agentes biológicos, ao responsável pelo local de trabalho e, quando houver, ao serviço de segurança e saúde do trabalho e à CIPA.
32.2.4.12	O empregador deve informar, imediatamente, aos trabalhadores e aos seus representantes qualquer acidente ou incidente grave que possa provocar a disseminação de um agente biológico suscetível de causar doenças graves nos seres humanos, as suas causas e as medidas adotadas ou a serem adotadas para corrigir a situação.
32.2.4.13	Os colchões, colchonetes e demais almofadados devem ser revestidos de material lavável e impermeável, permitindo desinfecção e fácil higienização.
32.2.4.14	Os trabalhadores que utilizarem objetos perfurocortantes devem ser os responsáveis pelo seu descarte.
32.2.4.15	São vedados o reencape e a desconexão manual de agulhas.
32.2.4.16	Deve ser assegurado o uso de materiais perfurocortantes com dispositivo de segurança, conforme cronograma a ser estabelecido pela CTPN.
32.2.4.17	Da Vacinação dos Trabalhadores
32.3	DOS RISCOS QUÍMICOS
32.3.4	Do Programa de Prevenção de Riscos Ambientais – PPRA
32.3.5	Do Programa de Controle Médico de Saúde Ocupacional - PCMSO
32.3.6	Cabe ao empregador:
32.3.7	Das Medidas de Proteção
32.3.7.1.3 	O local deve dispor, no mínimo, de:
32.3.7.2 	A manipulação ou fracionamento dos produtos químicos deve ser feito por trabalhador qualificado.
32.3.7.3	O transporte de produtos químicos deve ser realizado considerando os riscos à segurança e saúde do trabalhador e ao meio ambiente.
